"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance"
"Short stories in English, 1900---Texts","general term","007681118","Monograph","Language material ; Text","Volume","GB7415660","","9780140024999","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The terminal beach","","Science fiction","","England","Harmondsworth","Penguin","1974","","224 pages, 18 cm","823.91","","","English","This collection originally published: London : Gollancz, 1964",""
"Short stories in English, 1900---Texts","general term","007687992","Monograph","Language material ; Text","Volume","GB7330403","","9780224008945","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Vermilion Sands","","","","England","London","Cape","1973","","208 pages, 21 cm","823.91","","","English","",""
"Short stories in English, 1900---Texts","general term","009681862","Monograph","Language material ; Text","Volume","GB7421645","","9780575018594","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The four-dimensional nightmare","","","","England","London","Gollancz","1974","","197 pages, 21 cm","823.91","","","English","This collection originally published: 1963",""
"Short stories in English, 1900---Texts","general term","009681863","Monograph","Language material ; Text","Volume","GB7421646","","9780575018600","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The terminal beach","","","","England","London","Gollancz","1974","","221 pages, 21 cm","823.91","","","English","This collection originally published: 1964",""
"Short stories in English, 1900---Texts","general term","009938052","Monograph","Language material ; Text","Volume","GB7128816","","9780586023365","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The overloaded man","","Panther science fiction","","England","London","Panther","1971","","158 pages, 18 cm","823.91","H.71/731","","English","Originally published 1967",""
"Short stories in English, 1900---Texts","general term","010365089","Monograph","Language material ; Text","Volume","GB7901514","","9780140024999","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The terminal beach","","","","England","Harmondsworth","Penguin","1979","","224 pages, 18 cm","823.91","","","English","This collection originally published: London : Gollancz, 1964",""
"Short stories in English, 1900---Texts","general term","012295843","Monograph","Language material ; Text","Volume","GB7730735","","9780140023459","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The four-dimensional nightmare","","Penguin science fiction","","England","Harmondsworth","Penguin","1977","","211 pages, 18 cm","823.91","","","English","'reprinted, with the two stories 'Prima belladonna' and 'Studio 5, the stars' replaced by 'The overloaded man' and 'Thirteen to Centaurus' - title page verso ; This collection originally published: London : Gollancz, 1963",""
"Short stories in English--1900---Texts","general term","007362054","Monograph","Language material ; Text","Volume","GB7701841","","9780224013116","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Low-flying aircraft, and other stories","","","","England","London","Cape","1976","","191 pages, 21 cm","823.91","Nov.33307","","English","",""
"Short stories in English--1900---Texts","general term","010705360","Monograph","Language material ; Text","Volume","GB7828931","","9780586045039","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Low-flying aircraft, and other stories","","","","England","St Albans","Triad","1978","","191 pages, 18 cm","823.91","H.78/1021","","English","This collection originally published: London : Cape, 1976",""
"Short stories in English--1945---Texts","general term","007363243","Monograph","Language material ; Text","Volume","GB8225521","","9780224029360","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Myths of the near future","","","","England","London","Cape","1982","","205 pages, 21 cm","823.91 ; 823.914","X.958/12230","","English","",""
"Short stories in English--1945---Texts","general term","010077545","Monograph","Language material ; Text","Volume","GB8421441","","9780575035140","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The terminal beach","","","","England","London","Gollancz","1985","","220 pages, 22 cm","823.914","Nov.53119","","English","",""
"Short stories in English--1945---Texts","general term","010077546","Monograph","Language material ; Text","Volume","GB8423190","","9780575035157","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The voices of time","The four-dimensional nightmare","","","England","London","Gollancz","1985","","197 pages, 22 cm","823.914","Nov.53120","","English","Originally published: 1963",""
"Short stories in English--1945---Texts","general term","010077749","Monograph","Language material ; Text","Volume","GB8546169","","9780575037700","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The day of forever","","","","England","London","Gollancz","1986","","126 pages, 23 cm","823.914","YC.1986.a.4527","","English","Originally published: London : Panther, 1967",""
"Short stories in English--1945---Texts","general term","010705075","Monograph","Language material ; Text","Volume","GB8527359","","9780586023075","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The day of forever","","","","England","London","Panther","1985","","126 pages, 20 cm","823.914","X.958/30106 ; YK.1986.a.1534","","English","",""
"Short stories in English--1945---Texts","general term","010705691","Monograph","Language material ; Text","Volume","GB8100415","","9780586051870","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The Venus hunters","","A Panther book","","England","London","Granada","1980","","144 pages, 18 cm","823.91 ; 823.914","H.81/86","","English","",""
"Short stories in English--1945---Texts","general term","010705970","Monograph","Language material ; Text","Volume","GB8506399","","9780586058886","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Myths of the near future","","","","England","London","Triad","1984","","205 pages, 20 cm","823.914","X.958/26967","","English","Originally published: London : Cape, 1982",""
"Short stories, English","general term","005589097","Monograph","Language material ; Text","Volume","GB7510870","","9780552097482","","","","","Ballard, J. G., 1930-2009 [person] ; Aldiss, Brian W. (Brian Wilson), 1925-2017 [person] ; Peake, Mervyn, 1911-1968 [person]","The inner landscape","Boy in darkness ; Danger, religion! ; The voices of time","Corgi SF collector's library","","England","London","Corgi","1975","","187 pages, 18 cm","823.91","","","English","This collection originally published: London : Allison and Busby, 1969",""
"Short stories, English","general term","007681118","Monograph","Language material ; Text","Volume","GB7415660","","9780140024999","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The terminal beach","","Science fiction","","England","Harmondsworth","Penguin","1974","","224 pages, 18 cm","823.91","","","English","This collection originally published: London : Gollancz, 1964",""
"Short stories, English","general term","009681862","Monograph","Language material ; Text","Volume","GB7421645","","9780575018594","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The four-dimensional nightmare","","","","England","London","Gollancz","1974","","197 pages, 21 cm","823.91","","","English","This collection originally published: 1963",""
"Short stories, English","general term","009681863","Monograph","Language material ; Text","Volume","GB7421646","","9780575018600","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The terminal beach","","","","England","London","Gollancz","1974","","221 pages, 21 cm","823.91","","","English","This collection originally published: 1964",""
"Short stories, English","general term","010365089","Monograph","Language material ; Text","Volume","GB7901514","","9780140024999","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The terminal beach","","","","England","Harmondsworth","Penguin","1979","","224 pages, 18 cm","823.91","","","English","This collection originally published: London : Gollancz, 1964",""
"Short stories, English","general term","010705360","Monograph","Language material ; Text","Volume","GB7828931","","9780586045039","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Low-flying aircraft, and other stories","","","","England","St Albans","Triad","1978","","191 pages, 18 cm","823.91","H.78/1021","","English","This collection originally published: London : Cape, 1976",""
"Short stories, English","general term","012295843","Monograph","Language material ; Text","Volume","GB7730735","","9780140023459","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The four-dimensional nightmare","","Penguin science fiction","","England","Harmondsworth","Penguin","1977","","211 pages, 18 cm","823.91","","","English","'reprinted, with the two stories 'Prima belladonna' and 'Studio 5, the stars' replaced by 'The overloaded man' and 'Thirteen to Centaurus' - title page verso ; This collection originally published: London : Gollancz, 1963",""
"Social change--Great Britain--Fiction","general term","008718766","Monograph","Language material ; Text","Volume","GBA368053","","9780002258487","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Millennium people","","","","England","London","Flamingo","2003","","294 pages, 23 cm","823.914","Nov.2004/174","Fiction","English","",""
"Social change--Great Britain--Fiction","general term","012872862","Monograph","Language material ; Text","Volume","GBA4X8125","","9780006551614","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Millennium people","","","","England","London","HarperPerennial","2004","","304 pages, 20 cm","823.914","","Fiction","English","Originally published: London: Flamingo, 2003",""
"Sound in literature","general term","017403674","Monograph","Language material ; Text","Volume","","","9783837622027","Mieszkowski, Sylvia","","person","author","Mieszkowski, Sylvia, author [person]","Resonant alterities : sound, desire and anxiety in non-realist fiction","","Cultural and media studies","","Germany","Bielefeld","Transcript","2014","","402 pages, 23 cm","823.8","YD.2015.a.1333","Criticsm and interpretation","English","Additional physical form: 9783839422021",""
"Spain--Fiction","geographical term","008379771","Monograph","Language material ; Text","Volume","GB97X8133","","9780006550648","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Cocaine nights","","","","England","London","Flamingo","1997","","336 pages, 20 cm","823.914","","","English","Originally published: 1996",""
"Spain--Fiction","geographical term","016659399","Monograph","Language material ; Text","Volume","","","9781887178662","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","Cocaine nights","","","","United States of America","Washington, District of Columbia","Counterpoint","1998","","328 pages, 23 cm","823.914","YD.2014.a.1219","Detective and mystery fiction","English","Originally published: London : HarperCollinsPublishers. 1996",""
"Surrealism (Literature)","general term","014771483","Monograph","Language material ; Text","Volume","GBA8B6288","","9780754662679","Baxter, Jeannette","","person","","Baxter, Jeannette [person]","J.G. Ballard's surrealist imagination : spectacular authorship","","","","England","Farnham","Ashgate","2009","","xi, 243 pages, illustrations, 24 cm","823.914","YC.2009.a.8685 ; m09/.25321","","English","",""
"Surrealism (Literature)","general term","018137848","Monograph","Language material ; Text","Online resource","GBB7J7739","","9781351925815","Baxter, Jeannette","","person","","Baxter, Jeannette [person]","J.G. Ballard's surrealist imagination : spectacular authorship","","","","","","Routledge","2016","","1 online resource (256 pages)","823.914","ELD.DS.104082","","English","",""
"Survival after airplane accidents, shipwrecks, etc--Fiction","general term","016659405","Monograph","Language material ; Text","Volume","","","9780374524135","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","Concrete island","","","","United States of America","New York","Noonday Press","1994","","175 pages, 21 cm","823.914","YD.2014.a.1220","Fiction","English","Originally published: Farrar, Straus and Giroux. 1974",""
"Survival skills--Fiction","general term","014632894","Monograph","Language material ; Text","Volume","GBA872852","","9780007287048","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Concrete Island","","","","England","London","Harper Perennial","2008","","176, 28 pages, 20 cm","823.914","H.2009/500","Fiction","English","Originally published: London: Cape, 1974",""
"Technology--Social aspects","general term","014681389","Monograph","Language material ; Text","Volume","GBA894906","","9780007292790","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","A user's guide to the millennium","","","","England","London","HarperCollins","2008","","1 volume, 20 cm","306","","","English","Includes index ; Originally published: 1996",""
"Television Broadcasters","term","041-003204875","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00085a","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","Barbican Exhibition Print: J.G. Ballard, 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 304 mm x 237 mm","","Visual Arts. Godwin Photo 6/2(43)","","","Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. Mounted on card 303 x 405 mm, inscribed '043/ 5960-26' and '18'. Exhibited in Barbican Gallery, Room One, (Literary Portraits)",""
"Traffic accident victims--Fiction","general term","007687914","Monograph","Language material ; Text","Volume","GB7316846","","9780224007825","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Crash","","","","England","London","Cape","1973","","224 pages, 21 cm","823.91","","Fiction","English","",""
"Traffic accident victims--Fiction","general term","014632894","Monograph","Language material ; Text","Volume","GBA872852","","9780007287048","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Concrete Island","","","","England","London","Harper Perennial","2008","","176, 28 pages, 20 cm","823.914","H.2009/500","Fiction","English","Originally published: London: Cape, 1974",""
"Traffic accident victims--Psychology--Fiction","general term","012878725","Monograph","Language material ; Text","Volume","GBA4X2335","","9780099466895","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Crash","","","","England","London","Vintage","2004","","224 pages, 18 cm","823.914","","Fiction","English","Originally published: London: Jonathan Cape, 1973",""
"Traffic accident victims--Psychology--Fiction","general term","014632892","Monograph","Language material ; Text","Volume","GBA872850","","9780007287024","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Crash","","","","England","London","Harper Perennial","2008","","185, 30 pages, 20 cm","823.914","H.2009/671","Fiction","English","Originally published: London: Jonathan Cape, 1973",""
"Traffic accident victims--Psychology--Fiction","general term","015565822","Monograph","Language material ; Text","Volume","GBB066738","","9780007378340","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Crash","","","","England","London","Fourth Estate","2010","Special commemorative edition","1 volume, 24 cm","823.914","","Fiction","English","Originally published: London: Jonathan Cape, 1973",""
"Traffic accident victims--Sexual behavior--Fiction","general term","012878725","Monograph","Language material ; Text","Volume","GBA4X2335","","9780099466895","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Crash","","","","England","London","Vintage","2004","","224 pages, 18 cm","823.914","","Fiction","English","Originally published: London: Jonathan Cape, 1973",""
"Traffic accident victims--Sexual behavior--Fiction","general term","014632892","Monograph","Language material ; Text","Volume","GBA872850","","9780007287024","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Crash","","","","England","London","Harper Perennial","2008","","185, 30 pages, 20 cm","823.914","H.2009/671","Fiction","English","Originally published: London: Jonathan Cape, 1973",""
"Traffic accident victims--Sexual behavior--Fiction","general term","015565822","Monograph","Language material ; Text","Volume","GBB066738","","9780007378340","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Crash","","","","England","London","Fourth Estate","2010","Special commemorative edition","1 volume, 24 cm","823.914","","Fiction","English","Originally published: London: Jonathan Cape, 1973",""
"Traffic accidents--Fiction","general term","007687914","Monograph","Language material ; Text","Volume","GB7316846","","9780224007825","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Crash","","","","England","London","Cape","1973","","224 pages, 21 cm","823.91","","Fiction","English","",""
"Traffic accidents--Fiction","general term","012878725","Monograph","Language material ; Text","Volume","GBA4X2335","","9780099466895","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Crash","","","","England","London","Vintage","2004","","224 pages, 18 cm","823.914","","Fiction","English","Originally published: London: Jonathan Cape, 1973",""
"Traffic accidents--Fiction","general term","014632892","Monograph","Language material ; Text","Volume","GBA872850","","9780007287024","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Crash","","","","England","London","Harper Perennial","2008","","185, 30 pages, 20 cm","823.914","H.2009/671","Fiction","English","Originally published: London: Jonathan Cape, 1973",""
"Traffic accidents--Fiction","general term","014632894","Monograph","Language material ; Text","Volume","GBA872852","","9780007287048","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Concrete Island","","","","England","London","Harper Perennial","2008","","176, 28 pages, 20 cm","823.914","H.2009/500","Fiction","English","Originally published: London: Cape, 1974",""
"Traffic accidents--Fiction","general term","015565822","Monograph","Language material ; Text","Volume","GBB066738","","9780007378340","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Crash","","","","England","London","Fourth Estate","2010","Special commemorative edition","1 volume, 24 cm","823.914","","Fiction","English","Originally published: London: Jonathan Cape, 1973",""
"Traffic accidents--Fiction","general term","016659405","Monograph","Language material ; Text","Volume","","","9780374524135","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","Concrete island","","","","United States of America","New York","Noonday Press","1994","","175 pages, 21 cm","823.914","YD.2014.a.1220","Fiction","English","Originally published: Farrar, Straus and Giroux. 1974",""
"United Kingdom, Europe","place","041-003202769","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000020","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard '76. Photographer: Godwin, Fay","","","","","","","1976","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(29)","","","Genre: Portrait Photography. J G Ballard stands to the left of a contemporary waist-high garden sculpture in the shape of a fungus. He wears plaid trousers, a checked shirt and large lapel jacket and is looking slightly to the left",""
"United Kingdom, Europe","place","041-003202770","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000021","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard '76. Photographer: Godwin, Fay","","","","","","","1976","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(30)","","","Genre: Portrait Photography. J G Ballard stands to the left of a contemporary waist-high garden sculpture in the shape of a fungus. He wears plaid trousers, a checked shirt and large lapel jacket, which is fastened. He is looking beyond the camera to the right and slightly upwards",""
"United Kingdom, Europe","place","041-003202771","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000022","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard '84. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(31)","","","Genre: Portrait Photography. Half-length portrait of Ballard sitting at an angle on a high-back chair. He faces the camera with his left hand resting on the top of the chair. He wears an open-necked striped shirt and leather jacket",""
"United Kingdom, Europe","place","041-003202772","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000023","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(32)","","","Genre: Portrait Photography. Half-length portrait of Ballard sitting at an angle on a high-back chair; he faces the camera and has his left hand resting on the top of the chair. He wears an open-necked striped shirt and leather jacket",""
"United Kingdom, Europe","place","041-003202773","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000024","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard, 1984, UK writer and novelist. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(33)","","","Genre: Portrait Photography. Half-length portrait of Ballard sitting at an angle on a high-back chair; he faces the camera and has his left hand resting on the top of the chair. He wears an open-necked striped shirt and leather jacket",""
"United Kingdom, Europe","place","041-003202774","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000025","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard '84. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 127 mm x 176 mm","","Visual Arts. Godwin Photo 1(34)","","","Genre: Portrait Photography. Cropped and close-up view of Ballard's face turned three quarters to the left and looking slightly downwards",""
"United Kingdom, Europe","place","041-003202775","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000026","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard, 1984, UK novelist. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 127 mm x 176 mm","","Visual Arts. Godwin Photo 1(35)","","","Genre: Portrait Photography. Cropped and close-up view of Ballard's face turned three quarters to the left and looking slightly downwards",""
"United Kingdom, Europe","place","041-003202776","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000027","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard '84. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(36)","","","Genre: Portrait Photography. Cropped and close-up view of Ballard's face tilted slightly to the left and facing the camera",""
"United Kingdom, Europe","place","041-003202777","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000028","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(37)","","","Genre: Portrait Photography. Head and shoulders portrait of Ballard sitting in an armchair and facing left. He wears a striped shirt and leather jacket",""
"United Kingdom, Europe","place","041-003202778","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000029","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard '84. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(38)","","","Genre: Portrait Photography (generic types). Head and shoulders portrait of Ballard sitting in an armchair and facing left. He wears a striped shirt and leather jacket",""
"United Kingdom, Europe","place","041-003202779","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00002a","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard, UK writer and novelist 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(39)","","","Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera",""
"United Kingdom, Europe","place","041-003202780","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00002b","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard '84. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(40)","","","Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera",""
"United Kingdom, Europe","place","041-003202781","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00002c","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard, 1984, UK novelist. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(41)","","","Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pocket, his shoulders are slightly turned towards the left though he directly faces the camera",""
"United Kingdom, Europe","place","041-003202782","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00002d","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard, 1984, UK writer and novelist. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(42)","","","Genre: Portrait Photography. Head and shoulders portrait of Ballard seated in an armchair, which is turned towards the left; his gaze averts the camera",""
"United Kingdom, Europe","place","041-003202783","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00002e","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard, 1984, UK writer and novelist. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(43)","","","Genre: Portrait Photography. Head and shoulders portrait of Ballard standing in three quarter profile to the left",""
"United Kingdom, Europe","place","041-003202784","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00002f","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard, 1984, UK novelist and writer. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(44)","","","Genre: Portrait Photography. Head and shoulders portrait of Ballard standing in three quarter profile to the left",""
